ENTIDAD;OFICINA;PRODUCTO;CONTRATO;Portafolio;OFICINA2;CONTRATO2;SALDO;FEULIQ;T.E.A
0013;5120;50;50568162;P4290;6143;9670946462;67258029;2019/2/28;26
0013;3156;50;30514185;P5379;5782;9676111213;222946534;2018/5/27;21
0013;3665;50;29284219;P5209;2520;9680542817;226734598;2018/4/28;21
0013;5713;50;81596051;P1414;7747;9686945097;92758724;2020/2/22;22
0013;3002;50;48793071;P5553;5123;9640567874;309307205;2018/1/15;24
0013;5055;50;81372745;P2506;3086;9648252518;89820336;2018/7/23;24
0013;4080;50;39237426;P3356;5610;9686571157;49558306;2019/1/29;23
0013;1218;50;62912409;P5400;5690;9617903882;274021432;2019/3/28;26
0013;7685;50;90148485;P5023;7481;9645237323;56508966;2019/3/23;24
0013;3180;50;74495253;P4878;3684;9685425233;257511522;2019/8/6;22
0013;1548;50;27550071;P2223;5249;9639651088;253510510;2019/6/10;25
0013;2716;50;91404477;P5265;3336;9623305549;77489471;2020/2/12;21
0013;7653;50;90437061;P2783;5875;9638273874;112327105;2020/1/20;27
0013;7698;50;45771710;P4889;7776;9658810624;30721446;2018/10/24;27
0013;3752;50;77018577;P2392;7004;9680642283;181162331;2019/6/7;20
0013;5755;50;45531199;P4193;2291;9697977218;48090149;2020/2/27;27
0013;4474;50;82495975;P5094;4403;9626991556;138801534;2020/2/18;27
0013;2840;50;57288755;P3964;4514;9630510586;154421551;2019/3/20;21
0013;3937;50;71852130;P2535;6367;9639138611;181954247;2020/2/7;23
0013;2443;50;54184196;P3052;5323;9674400652;130007433;2019/4/1;23
0013;6776;50;71157278;P5330;2701;9651607460;102774806;2018/10/25;27
0013;5068;50;31331513;P5288;2837;9659031991;237439066;2020/2/23;21
0013;2049;50;66867536;P1678;4677;9620274340;108199884;2020/2/13;20
0013;6913;50;53324125;P1193;6580;9650409477;341199623;2019/7/25;20
0013;7217;50;48774132;P4562;5756;9688730082;55900169;2020/1/25;22
0013;4110;50;19020852;P1118;4141;9640293970;220762041;2020/1/29;27
0013;4169;50;42049620;P3202;7461;9639023917;319975807;2018/5/11;20
0013;1960;50;49636973;P2822;6767;9681860654;62382434;2018/3/29;21
0013;6826;50;27993377;P4677;2729;9671191428;241802730;2019/10/19;27
0013;1714;50;79589971;P2427;2403;9618068158;204086066;2019/5/15;26
0013;1897;50;27513184;P5201;6755;9619107097;316266051;2019/10/23;21
0013;7500;50;57645431;P3921;4516;9646144049;64054564;2020/2/15;22
0013;3164;50;13659619;P1287;5873;9651670232;117838904;2018/4/24;20
0013;7139;50;93770055;P4086;4062;9646569223;206267684;2019/9/8;26
0013;4423;50;94126002;P3071;5784;9670311316;173509104;2020/2/3;21
0013;4145;50;11146160;P3108;7104;9628977807;107100769;2019/3/14;22
0013;5497;50;82034826;P3362;4723;9625266922;117483299;2020/2/16;26
0013;4188;50;48718840;P3134;6491;9686741172;99579243;2018/1/20;20
0013;1259;50;25322359;P2476;3793;9649573837;129243571;2018/2/22;23
0013;1739;50;71718652;P4396;5143;9673749789;262872088;2020/1/16;21
0013;6431;50;88371876;P4398;5911;9687807799;195046583;2019/3/29;24
0013;1248;50;58579474;P1174;3221;9656911570;298976886;2020/2/20;25
0013;4014;50;42824264;P2777;3788;9643431755;62866130;2019/3/11;21
0013;4046;50;14914392;P4460;3886;9681196086;85702474;2020/2/14;22
0013;4325;50;20585999;P4671;5732;9693337469;153365360;2020/1/2;27
0013;3845;50;64536587;P4840;2923;9644734117;115791083;2020/2/11;22
0013;2964;50;53646316;P3555;6986;9660988023;97240226;2019/12/10;25
0013;1793;50;27536096;P5333;5206;9656543789;214042090;2019/11/26;27
0013;4812;50;74134952;P3384;4253;9614512349;37322606;2019/6/23;23
0013;6031;50;99990732;P1120;3992;9649701249;319343556;2020/1/30;22
0013;2104;50;84731348;P5167;7631;9638317034;264993171;2020/2/13;23
0013;7733;50;51094030;P2666;6137;9683097086;32204057;2018/7/10;21
0013;1208;50;54683002;P3192;2355;9647179525;201281686;2018/5/10;27
0013;4508;50;99699856;P1181;4028;9619155857;240302941;2020/2/18;20
0013;7720;50;81062174;P5361;5883;9615337277;173988115;2019/6/22;21
0013;7111;50;18016603;P2819;3662;9652089529;193575086;2018/7/10;25
0013;1565;50;42927844;P3102;2962;9628107883;148270135;2020/2/18;25
0013;2739;50;78575946;P2523;5434;9641375504;271928538;2019/4/6;26
0013;3143;50;80764271;P2483;6070;9639808014;51237279;2019/8/3;23
0013;1464;50;63387850;P3915;4534;9670612177;34038382;2018/12/9;21
0013;3894;50;67782489;P5519;2829;9639373701;106373057;2018/11/23;22
0013;5131;50;19429160;P1465;4147;9630189216;310651840;2019/5/17;24
0013;7443;50;21792366;P3710;3405;9623805781;92304639;2018/5/26;22
0013;3906;50;91998125;P2277;7434;9682846965;197945016;2019/9/1;23
0013;3546;50;96889494;P4832;3403;9688980345;130225880;2020/1/20;21
0013;4629;50;67681867;P5403;7130;9679108260;268159032;2020/1/27;24
0013;1716;50;69125635;P3885;6930;9617693000;165646650;2020/2/17;20
0013;4963;50;92270057;P2209;4432;9627571045;269828041;2019/6/25;22
0013;4155;50;21558351;P1132;6142;9679295169;105714580;2019/10/28;23
0013;5979;50;92164508;P2682;2609;9621181621;54049600;2018/3/24;20
0013;6556;50;60320629;P5085;2989;9640032188;49639867;2019/8/3;25
0013;1287;50;76782168;P1755;3451;9651799333;130108164;2020/2/5;22
0013;1889;50;29149892;P4892;4582;9674706945;330899641;2020/2/24;27
0013;6610;50;27676959;P5179;3853;9661924073;273260481;2018/2/20;21
0013;7402;50;35579880;P5476;5617;9662875733;168037260;2020/1/1;23
0013;6202;50;25860157;P1759;7484;9657626877;311503431;2019/9/3;27
0013;5139;50;73812921;P3912;5686;9645304037;202850153;2018/6/20;26
0013;2816;50;66090216;P3364;3472;9681428972;161796576;2020/2/2;22
