ENTIDAD;OFICINA2;CONTRATO2;SALDO;FEULIQ;T.E.A
0013;1002;9640523641;262053153;2018/4/13;22
0013;1007;9675849037;274879943;2020/1/20;21
0013;1009;9633989627;86912816;2020/2/10;25
0013;1009;9669804017;173647691;2019/10/21;22
0013;1011;9613500504;316105530;2018/9/15;27
0013;1013;9631087823;311059983;2019/7/19;20
0013;1016;9621345377;235363922;2019/8/1;26
0013;1021;9633859315;39991520;2019/3/5;24
0013;1028;9642164798;305163340;2018/6/28;26
0013;1035;9643845312;156641099;2019/2/20;21
0013;1048;9647790027;211819129;2018/12/7;25
0013;1058;9637680656;186187743;2020/2/25;20
0013;1066;9634090003;335155751;2019/6/3;24
0013;1067;9669251658;212944209;2019/10/9;20
0013;1077;9632898335;185457588;2019/10/26;21
0013;1087;9640925768;329527670;2019/7/4;21
0013;1108;9693147835;161040375;2018/3/18;23
0013;1110;9626391610;170627921;2019/1/11;21
0013;1132;9671610351;91827719;2020/2/30;20
0013;1151;9668259243;110017212;2019/1/9;26
0013;1166;9644226327;69881533;2019/2/30;24
0013;1169;9654451039;234232073;2019/4/29;23
0013;1173;9699156081;135463217;2018/4/22;23
0013;1177;9659586279;56436048;2018/2/13;22
0013;1183;9640451775;158740584;2018/12/22;24
0013;1190;9636787527;253126782;2020/2/16;24
0013;1192;9653109485;279280430;2018/2/21;27
0013;1197;9680325742;200100241;2019/1/2;27
0013;1208;9676820265;201281686;2018/5/10;27
0013;1218;9656238206;274021432;2019/3/28;26
0013;1229;9671586139;181411849;2018/3/15;23
0013;1248;9629234313;298976886;2020/2/20;25
0013;1256;9693632240;26292640;2020/1/19;25
0013;1259;9675334607;129243571;2018/2/22;23
0013;1268;9694724291;234831536;2019/3/1;22
0013;1270;9642618647;290683377;2020/2/25;21
0013;1271;9624099156;68214825;2020/1/19;27
0013;1284;9691706694;253921662;2020/1/17;25
0013;1287;9682435730;53944116;2018/11/3;21
0013;1287;9687671504;130108164;2020/2/5;22
0013;1290;9690920340;160123727;2019/3/2;26
0013;1290;9694512918;283092073;2020/1/15;23
0013;1292;9669506806;187268190;2020/1/18;20
0013;1295;9691833884;318489701;2019/11/30;22
0013;1304;9655710869;257189298;2018/6/10;27
0013;1314;9625804073;117688830;2019/9/29;27
0013;1324;9693066708;56983220;2018/4/8;22
0013;1333;9672650119;105788821;2019/6/7;26
0013;1333;9688763592;296395327;2018/6/29;26
0013;1336;9655221970;43635806;2019/10/12;22
0013;1343;9683377683;34872394;2018/4/6;20
0013;1358;9634313160;166550979;2018/4/23;26
0013;1363;9676626548;227670964;2018/1/19;27
0013;1368;9639740386;338861589;2020/2/4;21
0013;1382;9644494524;119179157;2019/12/5;21
0013;1384;9664367606;286161558;2018/9/24;21
0013;1387;9682871141;347696615;2019/11/18;22
0013;1390;9650201356;31869257;2020/2/11;22
0013;1393;9624953471;181732322;2018/9/15;24
0013;1393;9655174569;104719789;2020/2/26;26
0013;1396;9659916662;62417689;2019/2/14;22
0013;1397;9663473518;289581866;2018/6/13;22
0013;1406;9637110249;338482393;2018/3/21;23
0013;1410;9656748529;243970974;2018/12/8;22
0013;1412;9686497364;215930683;2020/1/4;21
0013;1434;9678075734;178345054;2019/11/25;24
0013;1436;9671971726;203126864;2019/4/1;25
0013;1451;9641936791;181518283;2018/8/27;24
0013;1464;9693081074;34038382;2018/12/9;21
0013;1467;9627023865;333385317;2020/1/2;23
0013;1505;9681629884;164362342;2018/5/15;25
0013;1509;9663016403;120268904;2018/9/7;25
0013;1510;9617817711;317104671;2018/10/27;24
0013;1513;9628832221;166773090;2020/1/18;22
0013;1522;9678331269;265408261;2020/1/30;22
0013;1523;9668531845;161146988;2018/2/4;26
0013;1526;9658537329;276258403;2018/2/9;26
0013;1544;9680647694;26135805;2018/5/16;27
0013;1547;9698411836;250288140;2019/3/23;23
0013;1548;9688310440;253510510;2019/6/10;25
0013;1550;9678003172;52778284;2019/5/23;24
0013;1556;9624878222;99153117;2019/2/29;21
0013;1558;9644642756;164997926;2019/9/19;23
0013;1561;9623209106;174642263;2018/7/25;27
0013;1565;9660317515;148270135;2020/2/18;25
0013;1567;9651773303;335045944;2019/4/25;21
0013;1570;9611806873;286131265;2019/7/30;24
0013;1577;9686071324;347364997;2018/8/29;26
0013;1581;9654291685;199589483;2019/3/7;26
0013;1590;9648168739;335545295;2020/2/5;20
0013;1592;9675131985;156005514;2019/2/3;20
0013;1593;9659723218;82958325;2019/2/9;23
0013;1603;9613752295;195742643;2020/1/13;22
0013;1605;9680571488;303502643;2018/6/29;22
0013;1610;9628980207;267323040;2020/2/18;25
0013;1612;9611413457;178787122;2020/1/8;22
0013;1613;9634421809;66948723;2019/8/27;20
0013;1614;9617472533;102810455;2019/6/6;25
0013;1625;9626155799;288828241;2018/9/17;26
0013;1628;9644534903;195489901;2020/1/30;25
0013;1634;9635935578;34996027;2019/6/16;20
0013;1634;9661223253;278750159;2018/11/10;27
0013;1663;9638233527;205191710;2018/5/19;27
0013;1680;9685816270;263446826;2018/9/16;21
0013;1689;9639346929;198609918;2018/5/3;25
0013;1689;9691221490;161893168;2020/1/12;21
0013;1714;9658549877;204086066;2019/5/15;26
0013;1716;9622448680;165646650;2020/2/17;20
0013;1721;9614341598;161849767;2019/9/11;20
0013;1728;9626233516;20433170;2020/2/26;25
0013;1736;9640074009;69377473;2018/2/17;23
0013;1739;9667818728;262872088;2020/1/16;21
0013;1743;9627845982;55840625;2019/9/2;22
0013;1764;9665124549;251804696;2019/6/20;26
0013;1766;9679468094;225127137;2020/2/12;27
0013;1773;9667174376;118289812;2019/9/24;23
0013;1776;9650704769;282001759;2020/1/3;24
0013;1782;9624176844;67719322;2019/12/14;27
0013;1793;9642818370;214042090;2019/11/26;27
0013;1796;9626907462;86197455;2020/1/16;23
0013;1796;9658782625;254355124;2020/1/26;25
0013;1808;9616237785;188811526;2020/1/4;20
0013;1809;9677489377;54214557;2019/5/3;21
0013;1814;9655615798;199109449;2020/1/26;26
0013;1819;9682275930;251931842;2020/1/18;21
0013;1821;9671687063;158514784;2019/7/7;26
0013;1824;9650030107;267088766;2020/1/21;21
