ENTIDAD;OFICINA;CUENTA;MESES DE MORA;COD. TRANF.;TC ASOCIADA
0013;5120;5050568162;5;T3114;4344018158836859
0013;4268;5078114524;3;XZ1133;43236722Z4449864
0013;3665;5029284219;5;T375;5530038469484642
0013;5713;5081596051;5;T337;4203325932144W94
0013;5031;5037486449;3;XZ1247;46003346148X1514
0013;5055;5081372745;5;T32;5335788568516182
0013;4080;5039237426;2;XZ1195;4320768375633482
0013;1218;5062912409;2;XZ1124;4557666818389662
0013;4668;5022503749;3;XZ12;494841338B117518
0013;2692;5049884098;6;T3196;4517728982394478
0013;1548;5027550071;4;T3267;4871348736636886
0013;5753;5085937327;2;XZ1169;49338845997X6322
0013;6241;5046551944;6;T3239;4309541A91214456
0013;7698;5045771710;2;XZ121;50598323Z9373573
0013;3752;5077018577;6;T3197;456073322B628466
0013;3802;5091284674;4;T3145;49534810343991735
0013;4474;5082495975;2;XZ172;43567829Z5834246
0013;2840;5057288755;1;XZ1207;5014366544451418
0013;3937;5071852130;6;T3264;411118385B665146
0013;2443;5054184196;2;XZ198;55936422Z8826851
0013;6776;5071157278;3;XZ158;54941643915X3659
0013;5068;5031331513;1;XZ191;586716361B345888
0013;5684;5087402097;2;XZ1193;5334317731288612
0013;6913;5053324125;4;T3270;48023710978888123
0013;8873;5088368828;2;XZ1278;50761226Z6484947
0013;8409;5027206294;5;T3147;5484127933147231
0013;5312;5076867233;3;XZ1296;48138541621X3597
0013;6925;5021879863;3;XZ1174;4191101A46972761
0013;4739;5021946170;1;XZ175;42900729Z4345595
0013;1714;5079589971;6;T3121;5058538557229925
0013;7442;5077101280;6;T3172;5263155635593W31
0013;7500;5057645431;2;XZ1197;5647335846775W83
0013;3164;5013659619;6;T366;4729786149463462
0013;4131;5048275142;6;T3292;53589023Z9716563
0013;4423;5094126002;3;XZ1282;4821389995952462
0013;4145;5011146160;3;XZ193;58830910917752992
0013;5497;5082034826;1;XZ1168;417021331B688449
0013;5360;5099160783;3;XZ1122;5970428384835154
0013;5981;5073744210;5;T3224;56942847434X3422
0013;3442;5027992971;3;XZ1222;41522810153895356
0013;7135;5018679394;6;T3255;557454335B438992
0013;1248;5058579474;1;XZ1197;56758010152632971
0013;5551;5051882090;2;XZ1232;51635122Z9682348
0013;3359;5022756907;1;XZ1287;4420648845395724
0013;4325;5020585999;3;XZ1137;5746851A53443884
0013;8755;5012822920;1;XZ175;47860748877X2881
0013;8718;5021403091;4;T328;5110239964192439
0013;1793;5027536096;6;T3217;4507336133121781
0013;4812;5074134952;2;XZ1296;4220497253912568
0013;8441;5035869481;4;T3130;5127115784784W43
0013;6408;5058170487;5;T348;5076518912977943
0013;7949;5088353940;3;XZ1242;4977389799822239
0013;1208;5054683002;1;XZ177;56590747949X3826
0013;5989;5040783910;4;T3196;438438311B895853
0013;4726;5039871765;6;T321;5109538951756769
0013;5759;5016411905;5;T3282;4736028729932735
0013;1565;5042927844;4;T3127;54835522Z2721377
0013;2739;5078575946;3;XZ1299;5027629882674356
0013;3143;5080764271;4;T3101;5661636796579278
0013;8437;5056698693;1;XZ1148;42752348433X8983
0013;3894;5067782489;6;T354;5967627656841286
0013;5131;5019429160;4;T334;4335405394645W96
0013;3515;5049201437;1;XZ1222;4983557961823268
0013;2698;5023655708;3;XZ116;5429815488992W72
0013;7641;5037940529;1;XZ1128;57328910744821432
0013;4629;5067681867;2;XZ1181;41884810326872196
0013;1716;5069125635;6;T3139;5729018818257498
0013;4040;5094488553;6;T3163;4236685421671W22
0013;4155;5021558351;4;T383;4275635695255W91
0013;7138;5063696961;5;T357;44777029Z1892786
0013;6556;5060320629;3;XZ1291;5618028871916476
0013;2785;5059516528;1;XZ1170;50590024Z4795464
0013;8173;5070920159;6;T3284;4306281A48895814
0013;6610;5027676959;2;XZ187;4658065395219W43
0013;5685;5090595315;5;T3235;41862528Z5317275
0013;7464;5078109953;3;XZ1258;5248841A27359427
0013;5139;5073812921;2;XZ199;52131649691X8315
0013;8723;5063826156;6;T3127;5671318631316687
0013;5658;5053159301;3;XZ180;4555659554971716
0013;1610;5012554070;1;XZ1244;55329010614546952
0013;3833;5024123659;1;XZ1281;53834010437582273
0013;4402;5041747984;3;XZ1134;41737126Z6482873
0013;7628;5075127225;4;T3144;59516710679376443
0013;4817;5028357216;5;T3300;4119091A45634776
0013;5235;5013459683;3;XZ1257;505323348B873766
0013;4771;5046951780;6;T367;4664995641878W68
0013;6976;5099142506;3;XZ116;5491366641649735
0013;5670;5035593541;1;XZ1132;4182639777125916
0013;4816;5073903802;4;T3151;46271110578335833
0013;6012;5042461582;2;XZ1197;4589075786353W11
0013;7448;5027140077;5;T3206;4586538374682414
0013;4349;5077969571;4;T342;4837331A21496858
0013;2393;5025087200;4;T3209;5446458646886323
0013;2551;5082482868;6;T370;5015829462439927
0013;2830;5060543428;5;T3220;5181559814797961
0013;5462;5093914252;1;XZ1258;5309311A94432869
0013;5220;5064835479;3;XZ1213;5095548873723243
0013;7176;5040411726;6;T3266;56903328Z5846915
0013;1256;5061107749;1;XZ1178;5371481A17858635
0013;4172;5090720387;1;XZ1105;5668139915519761
0013;6107;5083762853;3;XZ1167;5147066221714138
0013;7406;5043347893;6;T316;5398111A43986327
0013;4166;5098834933;2;XZ199;5523678672685965
0013;2385;5029508197;5;T3243;47119410183311919
0013;6791;5092436190;4;T3230;4390149421241324
0013;6296;5059839596;3;XZ1100;547759398B851671
0013;2765;5046357465;6;T3104;5850658219167437
0013;3413;5011904058;5;T395;5208895322853W73
0013;8531;5059262369;5;T3235;4813411A93538589
0013;7727;5044596112;1;XZ1116;44740842845X5966
0013;5838;5080238885;2;XZ147;4901407648792962
0013;6836;5066564173;3;XZ1104;5703155586167W74
0013;8532;5054971743;5;T334;442843329B937888
0013;8860;5025910456;5;T3252;42527826Z8849769
0013;1766;5092391470;5;T320;4888857596199915
0013;2612;5070595471;4;T3221;4654229221141484
0013;6578;5020703763;5;T3278;4528467778855142
0013;6867;5075364173;3;XZ1228;55180445779X6444
0013;2845;5014448618;4;T3229;4655847788286951
0013;2663;5047386989;1;XZ194;47399210852325479
0013;3640;5036379358;2;XZ1140;42935610612469324
0013;6052;5039371601;3;XZ1203;5990655228339W11
0013;6968;5073509057;2;XZ1300;477988349B898559
0013;1173;5040421951;2;XZ14;4615997795676158
0013;4675;5042654730;4;T3141;5196751A54678373
0013;6019;5043779663;5;T3139;4427865984481W21
0013;3223;5041810224;3;XZ1256;5465235962681W48
0013;3285;5015021736;4;T3190;4594097611263274
0013;6299;5035655807;3;XZ187;5964917516871397
0013;7313;5072182315;1;XZ1134;503350322B796848
0013;3678;5029760516;4;T349;4844165732433W93
0013;1969;5011684382;3;XZ1119;5631466554635299
0013;3191;5041320899;1;XZ188;4690217827666963
0013;4496;5029339576;3;XZ130;43629147874X7658
0013;4368;5093821543;5;T3101;480265364B831658
0013;3624;5016344360;6;T382;56211522Z5468962
0013;3919;5040620456;2;XZ1230;5643356245193251
0013;7492;5078648421;5;T398;4317241A33727665
0013;8860;5079410901;4;T3110;45494442953X8912
0013;3098;5061995712;6;T3151;4924095248941W94
0013;5865;5084492020;3;XZ1144;4600215748654W55
0013;2809;5039543663;1;XZ1207;49837310417862167
0013;3311;5067224118;3;XZ198;427691392B647254
0013;1268;5091829216;6;T3300;4285181A36892228
0013;2543;5071591855;1;XZ1146;5968107882427267
0013;7598;5094707202;5;T320;5433451A47979536
0013;6185;5060831227;2;XZ1262;5551009611637355
0013;3658;5015242126;5;T3157;42683244489X2462
0013;2478;5020297199;2;XZ1275;5345118488739585
0013;4582;5013531188;3;XZ1290;5695521A31665254
0013;4249;5067038012;3;XZ1186;5202846583314146
0013;3856;5017243808;5;T3263;4811197166418274
0013;5165;5066144285;4;T37;5627026426737655
0013;3821;5098121089;6;T329;4309007845858622
0013;4421;5080727255;6;T3142;444218329B115842
0013;3120;5065718318;2;XZ1154;5273798319643841
0013;1035;5054146518;2;XZ137;57762610183714443
0013;5835;5050017709;2;XZ1144;5502267224819784
0013;3351;5049142888;3;XZ1212;5283159435873113
0013;5197;5082286545;1;XZ1194;5350891A36144354
0013;1556;5043708627;2;XZ110;55824221Z3886831
0013;8127;5064556838;5;T327;5216155146655W13
0013;3508;5052604682;1;XZ1283;4656435625912W67
0013;2998;5050419442;5;T369;56848341751X8779
0013;1570;5025687270;3;XZ1185;5915028422888974
0013;8058;5028067899;4;T345;5001838791295669
0013;7072;5060174395;4;T3150;53020522Z4649277
0013;3861;5017479869;6;T397;57022423Z5387615
0013;3082;5027992625;4;T324;43184729Z2453333
0013;5429;5096943142;5;T3273;51815143155X8183
0013;2941;5075517177;2;XZ176;5326766742132615
0013;7352;5054952585;3;XZ1186;5147125627838W38
0013;7297;5091446001;5;T3190;4794428369692537
0013;4991;5055506453;1;XZ1156;50095645266X2193
0013;6698;5023100576;6;T3141;51437910918767565
0013;4615;5065106597;4;T3164;567041335B621781
0013;2230;5036555804;3;XZ1194;5543929616425972
0013;2636;5051174409;1;XZ134;43690143647X7229
0013;4397;5026368261;5;T3104;5603438413425319
0013;5065;5039851845;6;T3121;5945887191478485
0013;7586;5059145289;6;T313;4814389826887457
0013;3438;5094627125;4;T3202;4196558331847895
0013;4941;5096196378;6;T3299;5583409945732533
0013;4361;5085057177;5;T358;47319029Z6336211
0013;7407;5097635874;3;XZ1183;4165121A81648435
0013;4070;5040154793;5;T3283;5173607641293836
0013;7151;5041417731;5;T372;5964081A49542516
0013;1190;5038301065;5;T3107;49304410428396825
0013;5821;5089598892;6;T310;59256241398X4482
0013;6785;5033631008;5;T393;50858324Z6748987
0013;8386;5067136492;5;T316;5344925872132W62
0013;4602;5050391027;6;T348;4199931A17869992
0013;3492;5046585646;2;XZ152;4680097861732385
0013;7016;5099661988;3;XZ1222;44947910233765114
0013;3986;5031228713;1;XZ1254;48692129Z1555252
0013;4687;5095130079;1;XZ178;4684896468186779
0013;3030;5023549652;1;XZ1261;4877077433391214
0013;5177;5052119244;2;XZ1130;5966478632253189
0013;3445;5091236534;6;T3295;5847601A98345497
0013;7568;5086286595;4;T3137;52214125Z4398827
0013;3449;5011936375;1;XZ1165;497795381B338768
0013;6780;5035151135;5;T3177;4232656593193138
0013;4508;5065039833;1;XZ142;54630710814813958
0013;3502;5068097680;3;XZ183;5035796712743587
0013;6677;5036260877;3;XZ1263;515474361B939723
0013;4145;5088450677;4;T3256;4139045129845W31
0013;4694;5038161493;1;XZ150;4660209276829534
0013;8825;5093750274;3;XZ1276;52228010495157193
0013;4306;5012561090;1;XZ166;4229635534675W89
0013;4516;5090162336;2;XZ11;4938081A44785459
0013;3360;5071018782;3;XZ1182;42056146821X5293
0013;7532;5053047879;4;T370;53705422Z1975938
0013;1410;5078337194;3;XZ1267;490603315B296712
0013;3800;5035853851;1;XZ1192;5715367312755248
0013;6233;5027527568;3;XZ1267;5026846637932157
0013;3012;5088721050;6;T378;467885393B869529
0013;8572;5080098301;1;XZ197;5827508834764711
0013;8120;5067122125;4;T3100;4357379261395613
0013;6250;5022080302;2;XZ130;5875876554125725
0013;4117;5059548515;6;T313;44033328Z3942298
0013;5694;5074300629;1;XZ1204;44439643471X3882
0013;4494;5041476772;5;T3125;55824110751942296
0013;1603;5051650574;6;T3170;5700735614488W29
0013;8762;5046509517;2;XZ163;5853917735152387
0013;3760;5014800964;3;XZ1279;4886797828714625
0013;6150;5031900635;4;T348;494700355B383186
0013;8673;5097500964;6;T375;5490247697959529
0013;8321;5049566187;4;T3179;4659591A36932473
0013;4314;5093065358;4;T337;5509818417669947
0013;7792;5025255383;2;XZ1248;423451367B268915
0013;2882;5021308409;1;XZ1149;4767249645471295
0013;7000;5053365509;2;XZ1240;5084937853117949
0013;6347;5083938766;4;T3162;45760310313821538
0013;4582;5023131356;3;XZ1274;58483926Z1847663
0013;2131;5054412086;3;XZ1297;5375597925749933
0013;6803;5081155353;2;XZ1135;4393088592348753
0013;6671;5042018971;4;T321;48431149331X9498
0013;2817;5059173743;6;T3293;5778298383671971
0013;6839;5014133691;4;T352;533266381B263868
0013;7945;5075358917;5;T3155;4537285824732W84
0013;2430;5025160278;1;XZ1203;57616547691X6639
0013;7394;5075632103;3;XZ1281;41834810931611569
0013;2961;5095736258;2;XZ1226;440185387B283143
0013;4973;5031298544;3;XZ1145;544669395B465924
0013;1290;5027641755;3;XZ1236;509554392B567928
0013;5035;5039513052;4;T3294;55255442522X9498
0013;4361;5077068629;1;XZ15;4833466116234693
0013;2550;5016339359;3;XZ1216;4995716112975835
0013;8770;5040242336;1;XZ1103;55075921Z9578717
0013;1870;5038408187;5;T3208;5971887972163452
0013;1721;5052637120;1;XZ1271;4170319191951651
0013;3767;5097410929;2;XZ115;478582317B589877
0013;5911;5051463621;6;T3274;5120491A14385936
0013;5608;5031922935;4;T3154;5230165152779W26
0013;4058;5024276568;1;XZ1165;57961410864726476
0013;4267;5071605628;4;T349;568478326B717145
0013;7635;5093070522;4;T36;4982095154464W47
0013;1628;5047763962;4;T3156;4539359688625161
0013;8136;5078647318;1;XZ1237;5789395459577W14
0013;4719;5030878977;5;T3194;55146043935X5453
0013;3512;5016806735;3;XZ161;566088379B676743
0013;6856;5048769210;2;XZ1117;54362843423X2469
0013;6023;5035179350;1;XZ123;47380328Z5389553
0013;7652;5067831448;1;XZ1238;53214210697576744
0013;3822;5019646043;1;XZ1112;5724516542339815
0013;1875;5039404521;5;T3247;5202218711592741
0013;5700;5058611225;1;XZ1138;45477310969349542
0013;2413;5077149339;1;XZ142;5855569739151228
0013;6266;5042430507;4;T3210;5257385644847W77
0013;6430;5075744010;5;T3187;5104525645665W61
0013;4274;5046786255;4;T3131;43846029Z2942291
0013;8623;5089391056;6;T3268;48916142264X6582
0013;4216;5079981398;6;T3107;4716136513756176
0013;4499;5021505832;2;XZ11;56513643859X7256
0013;2813;5077996894;4;T3120;5146195364164W24
0013;6228;5016600745;2;XZ1168;42527010167332313
0013;7768;5076826237;2;XZ138;504656369B317754
0013;6130;5051263392;4;T3164;4454749741497724
0013;7195;5077759568;4;T3116;4444917946763572
0013;6153;5096679490;1;XZ1295;48730210432519233
0013;2848;5085857920;4;T3233;5277501A94737656
0013;2853;5054045124;3;XZ1249;5551039338641759
0013;1382;5032837978;2;XZ1224;54794248759X5775
0013;3752;5079971978;4;T3273;5359068264217856
0013;2678;5024166778;6;T3118;4656448757238416
0013;1396;5068588655;5;T3226;5412631A98567212
0013;1505;5078790694;1;XZ1132;4571321A26843442
0013;8146;5066146938;5;T3175;5377248531973719
0013;1343;5090309957;1;XZ1145;4117426257275955
0013;3342;5030960035;4;T3232;57143247323X1983
0013;4699;5072079433;5;T3260;54993849786X5977
0013;3549;5044683525;4;T3134;50628542419X7622
0013;4172;5023222378;5;T3249;58474325Z9776954
0013;4027;5097407592;2;XZ137;4237438585199782
0013;3104;5056606806;1;XZ1128;4131238516579893
0013;4943;5098591863;6;T387;44996327Z6454117
0013;3326;5014338035;2;XZ1161;4148288162594151
0013;1002;5031523333;4;T3155;413312369B785865
0013;3397;5019510715;5;T373;4307056598983722
0013;2103;5023508267;1;XZ119;48123710948144828
0013;2880;5096710079;6;T3146;4886148631142975
0013;1177;5026713144;6;T339;5800075672377W76
0013;5140;5061083408;1;XZ1147;5491375559724W64
0013;3983;5077370692;3;XZ1217;5273298837747894
0013;6178;5033550139;5;T3215;5422845333226W42
0013;4609;5031919106;3;XZ1202;4580078753946549
0013;2531;5096200012;6;T3104;58664225Z2532481
0013;4880;5019397376;1;XZ1260;5183798535873148
0013;5253;5053948751;2;XZ15;43483827Z4334881
0013;2025;5065265523;3;XZ1110;49576510463933683
0013;5000;5059386564;4;T3293;52819242979X2988
0013;8734;5056612217;5;T3278;4967948164244544
0013;7884;5029520537;2;XZ1210;4853699917154423
0013;6577;5013538861;3;XZ151;5194771A29896594
0013;2660;5097824245;6;T347;555152372B625484
0013;3223;5046123208;6;T3297;49085921Z8864729
0013;1827;5069150614;2;XZ1210;49507829Z7117624
0013;6830;5043572527;5;T383;5710297464694744
0013;3871;5052486846;4;T350;485046359B743574
0013;5126;5019359853;4;T3252;5963078649381198
0013;2699;5081823310;5;T388;5366898117595331
0013;2566;5031093614;5;T3111;5837808635948586
0013;2641;5022836129;6;T3200;47051626Z2275517
0013;3039;5049048732;3;XZ1240;57701047539X8517
0013;2643;5069518937;5;T3285;5021937141562377
0013;5919;5031071121;3;XZ172;5839156793966573
0013;5338;5091420703;1;XZ1151;5583228231525166
0013;2950;5076814171;2;XZ143;57352122Z6321276
0013;7587;5089263547;3;XZ1184;4900561A88655669
0013;5424;5096587845;4;T351;47348243241X2336
0013;7586;5042737912;4;T3182;4400067249662778
0013;6412;5048394625;3;XZ197;434479344B723229
0013;1132;5073854207;6;T371;4445395962247W88
0013;3172;5098018640;5;T3254;46096610189156416
0013;7740;5097621683;2;XZ1187;4799256431397698
0013;7701;5099780853;3;XZ180;5103789515942477
0013;2289;5046239751;4;T3193;5693361A56554511
0013;8694;5062178279;6;T3244;5337506538181456
0013;4816;5022745516;2;XZ1102;5547427693591472
0013;3364;5030100189;5;T3112;585441311B835938
0013;2680;5059924745;3;XZ176;4177859728742943
0013;6074;5022884617;1;XZ1276;4583866676545539
0013;3603;5025301431;2;XZ1297;5219795665373W11
0013;7069;5060452608;4;T3262;5226361A51841369
0013;6770;5011978109;6;T3125;4753998344781958
0013;6907;5086896204;2;XZ1204;5598279379666624
0013;3020;5065734618;3;XZ1203;52849010921566915
0013;7081;5069921735;2;XZ1178;4131776465518755
0013;7242;5099308183;3;XZ1204;47811041428X4189
0013;3504;5040365706;5;T3116;4192928347869392
0013;4252;5092598244;5;T348;53906323Z5631582
0013;6406;5044130920;1;XZ1255;54493110441776412
0013;5793;5055146181;5;T349;5361401A32546166
0013;4771;5083431370;3;XZ1213;562192326B622661
0013;4409;5088940747;1;XZ1225;57703127Z3889644
0013;7517;5071044948;5;T3255;59428510964485732
0013;1991;5087480366;2;XZ1223;5855721A72623234
0013;5233;5060100760;4;T3289;4784691A79286496
0013;1526;5074654259;4;T3282;4876627948684191
0013;6234;5028290339;1;XZ1202;5249485823165W32
0013;1333;5072546272;3;XZ1285;5361715298228W79
0013;6961;5080294589;2;XZ1240;4964165234269W71
0013;5728;5077794089;1;XZ1220;42405910418869891
0013;8834;5042454567;3;XZ1139;58270943641X9157
0013;8431;5044513599;2;XZ1202;5568046693365554
0013;4038;5057399661;1;XZ183;5181196839939519
0013;2403;5091244678;1;XZ1175;51555810544657573
0013;4311;5038959852;2;XZ1227;5354669381868622
0013;3556;5088376426;6;T3199;5888121A22415269
0013;2488;5045364206;3;XZ168;50244510195473276
0013;4833;5087536863;6;T3104;51335924Z3156392
0013;2952;5056232675;3;XZ1110;4494665497327W99
0013;8884;5081310588;1;XZ1245;4652427693919657
0013;5481;5024979581;3;XZ1216;46629223Z4322435
0013;3311;5065896286;3;XZ1150;5732757862523573
0013;8222;5087391294;6;T380;5534228349741265
0013;5334;5070365699;3;XZ198;46643647465X6963
0013;6507;5069313393;6;T3127;5788316645951387
0013;2501;5028297159;2;XZ1195;5702131A53388136
0013;7478;5090539294;4;T324;5339531A78394526
0013;5448;5064589249;1;XZ1269;4387339132999928
0013;6432;5099536575;2;XZ1161;5910778529721115
0013;6489;5077533240;3;XZ1263;5186921A33564982
0013;3281;5037617340;5;T3148;5296926942223736
