BIN;IAI;ENTIDAD;OFICINA;PRODUCTO;CONTRATO;NOMBRE;DIRECCIÓN;Tasa;Deuda
586573;4442920128;0013;5120;50;50568162;ADRIANA HERNANDEZ BRAVO;Carrera 79 # 18-20 Bogotá, Colombia;2,21;6181844
502069;1183562315;0013;3156;50;30514185;ADRIANA REY SUARIQUE;Calle 55 # 62-31 Bogotá, Colombia;1,87;5973135
545183;9783322650;0013;3665;50;29284219;ADRIANA REY NAVIA;Carrera 166 # 83-17 Bogotá, Colombia;2,74;2576468
528200;5911234420;0013;5713;50;81596051;ALEJANDRO ACEVEDO MUÑOZ;Calle 136 # 54-14 Bogotá, Colombia;1,07;9436873
543886;1777204366;0013;3002;50;48793071;ALEXANDER VARGAS LOPEZ;Carrera 123 # 40-49 Bogotá, Colombia;2,39;7262876
532347;7438539314;0013;5055;50;81372745;ANDREA ACERO DIAZ;Calle 153 # 48-65 Bogotá, Colombia;1,24;7215739
424601;2159076370;0013;4080;50;39237426;ANDREA CRUZ FORERO;Calle 140 # 41-69 Bogotá, Colombia;2,14;3804258
517126;2013230858;0013;1218;50;62912409;ANDRES VILLA QUESADA;Carrera 104 # 47-67 Bogotá, Colombia;1,35;6026144
551799;7720273935;0013;7685;50;90148485;ANGELA MAHECHA QUESADA;Calle 154 # 99-47 Bogotá, Colombia;1,23;9409649
590721;1723755577;0013;3180;50;74495253;ANGELICA BLANCO FINO;Carrera 7 # 98-21 Bogotá, Colombia;2,30;8357271
502381;3991680825;0013;1548;50;27550071;ANGELICA ROCHA HERRERA;Carrera 161 # 74-41 Bogotá, Colombia;2,49;7900825
532577;3595428021;0013;2716;50;91404477;ANGIE FERNÁNDEZ NIETO;Calle 72 # 33-70 Bogotá, Colombia;1,49;6002580
558329;9849381092;0013;7653;50;90437061;BRIGITE RUIZ NIETO;Calle 159 # 10-49 Bogotá, Colombia;1,80;8772467
454212;3709588524;0013;7698;50;45771710;CAMILO ARISTIZABAL MENDOZA;Carrera 68 # 66-25 Bogotá, Colombia;2,28;7305906
417701;5513945684;0013;3752;50;77018577;CAMILO BOTERO CAMARGO;Carrera 29 # 43-55 Bogotá, Colombia;1,45;1355188
547034;2252584475;0013;5755;50;45531199;CAMILO CORTÉS GUERRERO;Carrera 140 # 21-18 Bogotá, Colombia;2,69;6741462
583047;6140265270;0013;4474;50;82495975;CAMILO GOMEZ CORAL;Carrera 168 # 46-49 Bogotá, Colombia;2,93;4256956
584623;2303274559;0013;2840;50;57288755;CARLOS POLO BARRERA;Carrera 119 # 28-34 Bogotá, Colombia;1,28;6805342
431354;8819061737;0013;3937;50;71852130;CARLOS CASTAÑO SÁNCHEZ;Calle 90 # 53-37 Bogotá, Colombia;2,21;6334748
